product_id,name,variant_label,image,cost_price,sell_price,profit,match_status
PROD-0544,Modian 925 Sterling Silver Minimalism Rainbow Color Enamel Hearts Pendant Necklace Trendy Link Chain For Women Wedding Jewelry,Gem Color: Red,https://i.ibb.co/Fq8vQ0YT/0544-modian-925-sterling-silver-minimalism-rainbow-colo-webp.webp,"₦57,358","₦72,900","₦15,542",matched_variant
PROD-0544,Modian 925 Sterling Silver Minimalism Rainbow Color Enamel Hearts Pendant Necklace Trendy Link Chain For Women Wedding Jewelry,Gem Color: Yellow,https://i.ibb.co/Fq8vQ0YT/0544-modian-925-sterling-silver-minimalism-rainbow-colo-webp.webp,"₦57,358","₦72,900","₦15,542",matched_variant
PROD-0545,MODIAN 925 Sterling Silver Minimalism Romantic Hearts Zirconia Ring Classic Basic Style Wedding Rings For Women Fine Jewelry,Ring Size: 5,https://i.ibb.co/Z6wjwpQs/0545-modian-925-sterling-silver-minimalism-romantic-hea-webp.webp,"₦27,254","₦37,900","₦10,646",matched_variant
PROD-0545,MODIAN 925 Sterling Silver Minimalism Romantic Hearts Zirconia Ring Classic Basic Style Wedding Rings For Women Fine Jewelry,Ring Size: 6,https://i.ibb.co/Z6wjwpQs/0545-modian-925-sterling-silver-minimalism-romantic-hea-webp.webp,"₦27,254","₦37,900","₦10,646",matched_variant
PROD-0545,MODIAN 925 Sterling Silver Minimalism Romantic Hearts Zirconia Ring Classic Basic Style Wedding Rings For Women Fine Jewelry,Ring Size: 7,https://i.ibb.co/Z6wjwpQs/0545-modian-925-sterling-silver-minimalism-romantic-hea-webp.webp,"₦27,254","₦37,900","₦10,646",matched_variant
PROD-0545,MODIAN 925 Sterling Silver Minimalism Romantic Hearts Zirconia Ring Classic Basic Style Wedding Rings For Women Fine Jewelry,Ring Size: 8,https://i.ibb.co/Z6wjwpQs/0545-modian-925-sterling-silver-minimalism-romantic-hea-webp.webp,"₦27,254","₦37,900","₦10,646",matched_variant
PROD-0545,MODIAN 925 Sterling Silver Minimalism Romantic Hearts Zirconia Ring Classic Basic Style Wedding Rings For Women Fine Jewelry,Ring Size: 9,https://i.ibb.co/Z6wjwpQs/0545-modian-925-sterling-silver-minimalism-romantic-hea-webp.webp,"₦27,254","₦37,900","₦10,646",matched_variant
PROD-0546,Modian 925 Sterling Silver Minimalist Clear Zirconia Stackable Ring For Women Anniversary Wedding Band Simple Fine Jewelry Gift,Ring Size: 5,https://i.ibb.co/7tstCxrg/0546-modian-925-sterling-silver-minimalist-clear-zircon-webp.webp,"₦35,335","₦49,900","₦14,565",matched_variant
PROD-0546,Modian 925 Sterling Silver Minimalist Clear Zirconia Stackable Ring For Women Anniversary Wedding Band Simple Fine Jewelry Gift,Ring Size: 6,https://i.ibb.co/7tstCxrg/0546-modian-925-sterling-silver-minimalist-clear-zircon-webp.webp,"₦35,335","₦49,900","₦14,565",matched_variant
PROD-0546,Modian 925 Sterling Silver Minimalist Clear Zirconia Stackable Ring For Women Anniversary Wedding Band Simple Fine Jewelry Gift,Ring Size: 7,https://i.ibb.co/7tstCxrg/0546-modian-925-sterling-silver-minimalist-clear-zircon-webp.webp,"₦35,335","₦49,900","₦14,565",matched_variant
PROD-0546,Modian 925 Sterling Silver Minimalist Clear Zirconia Stackable Ring For Women Anniversary Wedding Band Simple Fine Jewelry Gift,Ring Size: 8,https://i.ibb.co/7tstCxrg/0546-modian-925-sterling-silver-minimalist-clear-zircon-webp.webp,"₦35,335","₦49,900","₦14,565",matched_variant
PROD-0546,Modian 925 Sterling Silver Minimalist Clear Zirconia Stackable Ring For Women Anniversary Wedding Band Simple Fine Jewelry Gift,Ring Size: 9,https://i.ibb.co/7tstCxrg/0546-modian-925-sterling-silver-minimalist-clear-zircon-webp.webp,"₦35,335","₦49,900","₦14,565",matched_variant
PROD-0547,MODIAN 925 Sterling Silver Minimalist Rainbow Colorful Round Zirconia Rings Classic Wedding Statement Jewelry For Women Gift,Ring Size: 5,https://i.ibb.co/7tHX3Pzq/0547-modian-925-sterling-silver-minimalist-rainbow-colo-webp.webp,"₦36,115","₦48,900","₦12,785",matched_variant
PROD-0547,MODIAN 925 Sterling Silver Minimalist Rainbow Colorful Round Zirconia Rings Classic Wedding Statement Jewelry For Women Gift,Ring Size: 6,https://i.ibb.co/7tHX3Pzq/0547-modian-925-sterling-silver-minimalist-rainbow-colo-webp.webp,"₦36,115","₦48,900","₦12,785",matched_variant
PROD-0547,MODIAN 925 Sterling Silver Minimalist Rainbow Colorful Round Zirconia Rings Classic Wedding Statement Jewelry For Women Gift,Ring Size: 7,https://i.ibb.co/7tHX3Pzq/0547-modian-925-sterling-silver-minimalist-rainbow-colo-webp.webp,"₦36,115","₦48,900","₦12,785",matched_variant
PROD-0547,MODIAN 925 Sterling Silver Minimalist Rainbow Colorful Round Zirconia Rings Classic Wedding Statement Jewelry For Women Gift,Ring Size: 8,https://i.ibb.co/7tHX3Pzq/0547-modian-925-sterling-silver-minimalist-rainbow-colo-webp.webp,"₦36,115","₦48,900","₦12,785",matched_variant
PROD-0547,MODIAN 925 Sterling Silver Minimalist Rainbow Colorful Round Zirconia Rings Classic Wedding Statement Jewelry For Women Gift,Ring Size: 9,https://i.ibb.co/7tHX3Pzq/0547-modian-925-sterling-silver-minimalist-rainbow-colo-webp.webp,"₦36,115","₦48,900","₦12,785",matched_variant
PROD-0548,MODIAN 925 Sterling Silver Minimalist Round Shining Opal Opening Ring Trendy Adjustable Smooth Rings For Women Fine Jewelry Gift,Gem Color: Rhr1521 • Ring Size: Resizable,https://i.ibb.co/tMv0b1my/0548-modian-925-sterling-silver-minimalist-round-shinin-webp.webp,"₦38,776","₦51,500","₦12,724",matched_variant
PROD-0548,MODIAN 925 Sterling Silver Minimalist Round Shining Opal Opening Ring Trendy Adjustable Smooth Rings For Women Fine Jewelry Gift,Gem Color: Rhr1522 • Ring Size: Resizable,https://i.ibb.co/tMv0b1my/0548-modian-925-sterling-silver-minimalist-round-shinin-webp.webp,"₦38,776","₦51,500","₦12,724",matched_variant
PROD-0549,Modian 925 Sterling Silver Minimalist Simple Hearts To Hearts Female Trendy Romantic Bracelets For Women Wedding Fine Jewelry,Gem Color: Gold Color,https://i.ibb.co/KzjS3r9z/0549-modian-925-sterling-silver-minimalist-simple-heart-webp.webp,"₦35,883","₦48,500","₦12,617",matched_variant
PROD-0549,Modian 925 Sterling Silver Minimalist Simple Hearts To Hearts Female Trendy Romantic Bracelets For Women Wedding Fine Jewelry,Gem Color: Silver Color,https://i.ibb.co/KzjS3r9z/0549-modian-925-sterling-silver-minimalist-simple-heart-webp.webp,"₦35,883","₦48,500","₦12,617",matched_variant
